RFI,Radio Frequency Interference,,,,,,,,,,,,,,,,,,,,,,,,
RMI,Radio Magnetic Indicator,,,,,,,,,,,,,,,,,,,,,,,,
RNAV,Area Navigation,,,,,,,,,,,,,,,,,,,,,,,,
RPM,Revolutions Per Minute,,,,,,,,,,,,,,,,,,,,,,,,
RTE,Route,,,,,,,,,,,,,,,,,,,,,,,,
RTO,Rejected Takeoff,,,,,,,,,,,,,,,,,,,,,,,,
RVR,Runway Visual Range,,,,,,,,,,,,,,,,,,,,,,,,
RVV,Runway Visibility Value,,,,,,,,,,,,,,,,,,,,,,,,
RWY(S),Runway(s),,,,,,,,,,,,,,,,,,,,,,,,
SBND,Southbound,,,,,,,,,,,,,,,,,,,,,,,,
SELCAL,Selective Calling,,,,,,,,,,,,,,,,,,,,,,,,
SFL,Sequence Flashing Lights,,,,,,,,,,,,,,,,,,,,,,,,
SID,Standard Instrument Departure,,,,,,,,,,,,,,,,,,,,,,,,
SIGMET,Significant Meteorological Information,,,,,,,,,,,,,,,,,,,,,,,,
SIT,Situation,,,,,,,,,,,,,,,,,,,,,,,,
SL,Sea Level,,,,,,,,,,,,,,,,,,,,,,,,
SM,Statute Mile,,,,,,,,,,,,,,,,,,,,,,,,
SO('S),Second Officer,,,,,,,,,,,,,,,,,,,,,,,,
SOP,Standard Operating Procedure,,,,,,,,,,,,,,,,,,,,,,,,
"SPD (S,ING)",Speed,,,,,,,,,,,,,,,,,,,,,,,,
SPEC(S),Specification,,,,,,,,,,,,,,,,,,,,,,,,
STAB,Stabilizer,,,,,,,,,,,,,,,,,,,,,,,,
STAR,Standard Terminal Arrival Route,,,,,,,,,,,,,,,,,,,,,,,,
STD,Standard,,,,,,,,,,,,,,,,,,,,,,,,
STOL,Short Takeoff and Landing,,,,,,,,,,,,,,,,,,,,,,,,
SUPVR(S),Supervisor,,,,,,,,,,,,,,,,,,,,,,,,
SVC(S),Service,,,,,,,,,,,,,,,,,,,,,,,,
SVFR,Special Visual Flight Rules,,,,,,,,,,,,,,,,,,,,,,,,
SYS,System,,,,,,,,,,,,,,,,,,,,,,,,
TA,Traffic Advisory,,,,,,,,,,,,,,,,,,,,,,,,
TACAN,Tactical Air Navigation Aid,,,,,,,,,,,,,,,,,,,,,,,,
TAS,True Air Speed,,,,,,,,,,,,,,,,,,,,,,,,
TCA,Terminal Control Area,,,,,,,,,,,,,,,,,,,,,,,,
TCAS (II),Traffic Alert and Collision Avoidance System,,,,,,,,,,,,,,,,,,,,,,,,
TDZ,Touchdown Zone,,,,,,,,,,,,,,,,,,,,,,,,
TELCO,Telephone Company,,,,,,,,,,,,,,,,,,,,,,,,
TEMP(S),Temperature,,,,,,,,,,,,,,,,,,,,,,,,
TFC,Traffic,,,,,,,,,,,,,,,,,,,,,,,,
TKOF(S),Takeoff,,,,,,,,,,,,,,,,,,,,,,,,
TOC,Top Of Climb,,,,,,,,,,,,,,,,,,,,,,,,
TOD,Top Of Descent,,,,,,,,,,,,,,,,,,,,,,,,
TOGW,Takeoff Gross Weight,,,,,,,,,,,,,,,,,,,,,,,,
TR,VFR Low Altitude Training Routes,,,,,,,,,,,,,,,,,,,,,,,,
TRACON,Terminal Radar Approach Control Facility,,,,,,,,,,,,,,,,,,,,,,,,
TRNG,Training,,,,,,,,,,,,,,,,,,,,,,,,
TRSA,Terminal Radar Service Area,,,,,,,,,,,,,,,,,,,,,,,,
TSTM(S),Thunderstorm,,,,,,,,,,,,,,,,,,,,,,,,
TURB,Turbulence,,,,,,,,,,,,,,,,,,,,,,,,
TWR(S),Tower,,,,,,,,,,,,,,,,,,,,,,,,
TXWY,Taxiway,,,,,,,,,,,,,,,,,,,,,,,,
UFO,Unidentified Flying Object,,,,,,,,,,,,,,,,,,,,,,,,
UHF,Ultra High Frequency,,,,,,,,,,,,,,,,,,,,,,,,
UNAUTH,Unauthorized,,,,,,,,,,,,,,,,,,,,,,,,
USA,U S Army,,,,,,,,,,,,,,,,,,,,,,,,
USAF,U S Air Force,,,,,,,,,,,,,,,,,,,,,,,,
USCG,U S Coast Guard,,,,,,,,,,,,,,,,,,,,,,,,
USMC,U S Marine Corps,,,,,,,,,,,,,,,,,,,,,,,,
USN,U S Navy,,,,,,,,,,,,,,,,,,,,,,,,
UTC,Universal Time Constant (Zulu/GMT),,,,,,,,,,,,,,,,,,,,,,,,
VASI,Visual Approach Slope Indicator,,,,,,,,,,,,,,,,,,,,,,,,
VERT(LY),Vertical,,,,,,,,,,,,,,,,,,,,,,,,
VFR,Visual Flight Rules,,,,,,,,,,,,,,,,,,,,,,,,
VHF,Very High Frequency,,,,,,,,,,,,,,,,,,,,,,,,
VIS,Visibility,,,,,,,,,,,,,,,,,,,,,,,,
VLF,Very Low Frequency,,,,,,,,,,,,,,,,,,,,,,,,
VMC,Visual Meteorological Conditions,,,,,,,,,,,,,,,,,,,,,,,,
VNAV,Vertical Navigation,,,,,,,,,,,,,,,,,,,,,,,,
VOR,VFR Omni-Directional Radio Range,,,,,,,,,,,,,,,,,,,,,,,,
VOR/DME,VOR and DME (Co-located),,,,,,,,,,,,,,,,,,,,,,,,
VORTAC,VOR and TACAN (Co-Located),,,,,,,,,,,,,,,,,,,,,,,,
VR,VFR Military Training Routes,,,,,,,,,,,,,,,,,,,,,,,,
VSTOL,Vertical/Short Takeoff and Landing,,,,,,,,,,,,,,,,,,,,,,,,
WAC,World Aeronautical Chart,,,,,,,,,,,,,,,,,,,,,,,,
WBND,Westbound,,,,,,,,,,,,,,,,,,,,,,,,
"WK (S,LY)",Week,,,,,,,,,,,,,,,,,,,,,,,,
WT(S),Weight,,,,,,,,,,,,,,,,,,,,,,,,
WX,Weather,,,,,,,,,,,,,,,,,,,,,,,,
XCOUNTRY,Cross Country,,,,,,,,,,,,,,,,,,,,,,,,
XING,Crossing,,,,,,,,,,,,,,,,,,,,,,,,
XMISSION,Transmission,,,,,,,,,,,,,,,,,,,,,,,,
"XMIT (S,TING)",Transmit,,,,,,,,,,,,,,,,,,,,,,,,
XPONDER,Transponder,,,,,,,,,,,,,,,,,,,,,,,,
XWIND,Crosswind,,,,,,,,,,,,,,,,,,,,,,,,
Z,"Coordinated Universal Time, same as Greenwich Mean Time (GMT)",,,,,,,,,,,,,,,,,,,,,,,,
